Comment,Designator,Footprint,Quantity,LCSC Part #
100nF,"C_LS1,C_RGB1,C_RGB3,C_RGB4,C_RGB7,C_RGB8,C_RGB11,C_RGB13,C_RGB15,C_RGB16,C_RGB19,C_RGB20,C_RGB23,C_RGB25,C_RGB26,C_RGB29,C_RGB30,C_RGB33,C_RGB34,C_RGB37,C_RGB40,C_RGB41,C_RGB43,C_RGB44,C_RGB47,C_RGB48,C_RGB51,C_RGB53,C_RGB54,C_RGB55,C_RGB58,C_RGB59",C_0603,32,
100uF,C_RGB_BULK1,C_1206_3216Metric,1,
10uF,C_RGB_IN1,C_0603,1,
22uF,"C_RGB_OUT1_1,C_RGB_OUT2_1",C_0603,2,
1N4148W,"D1,D3,D4,D7,D8,D11,D13,D15,D16,D19,D20,D23,D25,D26,D29,D30,D33,D34,D37,D40,D41,D43,D44,D47,D48,D51,D53,D54,D55,D58,D59",SOD123,31,
JST PH 2.0 2-pin,J1,BatteryConnector_JST_PH2,1,
1uH,L_RGB1,L_0603,1,C22037
220R,R_RGB_DATA1,R_0603,1,C22962
100k,"R_RGB_EN_PD1,R_RGB_FB_BOT1",R_0603,2,C25803
732k,R_RGB_FB_TOP1,R_0603,1,C23239
SN74AHCT1G125,U_LS1,SN74AHCT1G125,1,
TPS61023,U_RGB1,TPS61023,1,
