Comment,Designator,Footprint,Quantity,LCSC Part #
100nF,"C_LS2,C_RGB2,C_RGB5,C_RGB6,C_RGB9,C_RGB10,C_RGB12,C_RGB14,C_RGB17,C_RGB18,C_RGB21,C_RGB22,C_RGB24,C_RGB27,C_RGB28,C_RGB31,C_RGB32,C_RGB35,C_RGB36,C_RGB38,C_RGB39,C_RGB42,C_RGB45,C_RGB46,C_RGB49,C_RGB50,C_RGB52,C_RGB56,C_RGB57",C_0603,29,
100uF,C_RGB_BULK2,C_1206_3216Metric,1,
10uF,C_RGB_IN2,C_0603,1,
22uF,"C_RGB_OUT1_2,C_RGB_OUT2_2",C_0603,2,
1N4148W,"D2,D5,D6,D9,D10,D12,D14,D17,D18,D21,D22,D24,D27,D28,D31,D32,D35,D36,D38,D39,D42,D45,D46,D49,D50,D52,D56,D57",SOD123,28,
JST PH 2.0 2-pin,J2,BatteryConnector_JST_PH2,1,
1uH,L_RGB2,L_0603,1,C22037
220R,R_RGB_DATA2,R_0603,1,C22962
100k,"R_RGB_EN_PD2,R_RGB_FB_BOT2",R_0603,2,C25803
732k,R_RGB_FB_TOP2,R_0603,1,C23239
SN74AHCT1G125,U_LS2,SN74AHCT1G125,1,
TPS61023,U_RGB2,TPS61023,1,
