Designator,Mid X,Mid Y,Layer,Rotation
C_LS2,182.000000,-22.000000,Bottom,90.000000
C_RGB2,231.625000,-14.775000,Bottom,90.000000
C_RGB5,212.575000,-16.680000,Bottom,90.000000
C_RGB6,250.675000,-16.680000,Bottom,90.000000
C_RGB9,193.525000,-18.585000,Bottom,90.000000
C_RGB10,269.725000,-18.585000,Bottom,90.000000
C_RGB12,288.775000,-19.537500,Bottom,90.000000
C_RGB14,231.625000,-33.825000,Bottom,90.000000
C_RGB17,212.575000,-35.730000,Bottom,90.000000
C_RGB18,250.675000,-35.730000,Bottom,90.000000
C_RGB21,193.525000,-37.635000,Bottom,90.000000
C_RGB22,269.725000,-37.635000,Bottom,90.000000
C_RGB24,291.156300,-38.587500,Bottom,90.000000
C_RGB27,174.475000,-52.875000,Bottom,90.000000
C_RGB28,231.625000,-52.875000,Bottom,90.000000
C_RGB31,212.575000,-54.780000,Bottom,90.000000
C_RGB32,250.675000,-54.780000,Bottom,90.000000
C_RGB35,193.525000,-56.685000,Bottom,90.000000
C_RGB36,269.725000,-56.685000,Bottom,90.000000
C_RGB38,291.156300,-57.637500,Bottom,90.000000
C_RGB39,174.475000,-70.972500,Bottom,90.000000
C_RGB42,231.625000,-75.700000,Bottom,90.000000
C_RGB45,212.575000,-73.830000,Bottom,90.000000
C_RGB46,250.675000,-73.830000,Bottom,90.000000
C_RGB49,193.525000,-75.735000,Bottom,90.000000
C_RGB50,269.725000,-75.735000,Bottom,90.000000
C_RGB52,291.156300,-76.687500,Bottom,90.000000
C_RGB56,202.898800,-96.680200,Bottom,15.000000
C_RGB57,183.881600,-99.310600,Bottom,15.000000
C_RGB_BULK2,173.300000,-24.000000,Bottom,90.000000
C_RGB_IN2,197.000000,-33.700000,Bottom,90.000000
C_RGB_OUT1_2,182.000000,-30.000000,Bottom,90.000000
C_RGB_OUT2_2,179.000000,-30.000000,Bottom,90.000000
D2,245.125000,-12.525000,Bottom,180.000000
D5,226.075000,-14.430000,Bottom,180.000000
D6,264.175000,-14.430000,Bottom,180.000000
D9,207.025000,-16.335000,Bottom,180.000000
D10,283.225000,-16.335000,Bottom,180.000000
D12,302.275000,-17.287500,Bottom,180.000000
D14,245.125000,-31.575000,Bottom,180.000000
D17,226.075000,-33.480000,Bottom,180.000000
D18,264.175000,-33.480000,Bottom,180.000000
D21,207.025000,-35.385000,Bottom,180.000000
D22,283.225000,-35.385000,Bottom,180.000000
D24,304.656300,-36.337500,Bottom,180.000000
D27,187.975000,-50.625000,Bottom,180.000000
D28,245.125000,-50.625000,Bottom,180.000000
D31,226.075000,-52.530000,Bottom,180.000000
D32,264.175000,-52.530000,Bottom,180.000000
D35,207.025000,-54.435000,Bottom,180.000000
D36,283.225000,-54.435000,Bottom,180.000000
D38,304.656300,-55.387500,Bottom,180.000000
D39,187.975000,-68.722500,Bottom,180.000000
D42,245.125000,-69.675000,Bottom,180.000000
D45,226.075000,-71.580000,Bottom,180.000000
D46,264.175000,-71.580000,Bottom,180.000000
D49,207.025000,-73.485000,Bottom,180.000000
D50,283.225000,-73.485000,Bottom,180.000000
D52,304.656300,-74.437500,Bottom,180.000000
D56,208.566200,-109.137900,Bottom,105.000000
D57,189.549000,-111.768300,Bottom,105.000000
J2,178.000000,-37.500000,Bottom,90.000000
L_RGB2,185.000000,-26.600000,Bottom,180.000000
R_RGB_DATA2,189.000000,-22.000000,Bottom,90.000000
R_RGB_EN_PD2,184.000000,-39.500000,Bottom,180.000000
R_RGB_FB_BOT2,185.000000,-33.000000,Bottom,180.000000
R_RGB_FB_TOP2,182.000000,-33.000000,Bottom,180.000000
U_LS2,186.000000,-22.000000,Bottom,180.000000
U_RGB2,185.000000,-30.000000,Bottom,180.000000
