"Refs","Value","Footprint","Qty","DNP"
"C_LS1","100nF","Keyboard:C_0603","1",""
"C_RGB1","100nF","Keyboard:C_0603","1",""
"C_RGB3","100nF","Keyboard:C_0603","1",""
"C_RGB4","100nF","Keyboard:C_0603","1",""
"C_RGB7","100nF","Keyboard:C_0603","1",""
"C_RGB8","100nF","Keyboard:C_0603","1",""
"C_RGB11","100nF","Keyboard:C_0603","1",""
"C_RGB13","100nF","Keyboard:C_0603","1",""
"C_RGB15","100nF","Keyboard:C_0603","1",""
"C_RGB16","100nF","Keyboard:C_0603","1",""
"C_RGB19","100nF","Keyboard:C_0603","1",""
"C_RGB20","100nF","Keyboard:C_0603","1",""
"C_RGB23","100nF","Keyboard:C_0603","1",""
"C_RGB25","100nF","Keyboard:C_0603","1",""
"C_RGB26","100nF","Keyboard:C_0603","1",""
"C_RGB29","100nF","Keyboard:C_0603","1",""
"C_RGB30","100nF","Keyboard:C_0603","1",""
"C_RGB33","100nF","Keyboard:C_0603","1",""
"C_RGB34","100nF","Keyboard:C_0603","1",""
"C_RGB37","100nF","Keyboard:C_0603","1",""
"C_RGB40","100nF","Keyboard:C_0603","1",""
"C_RGB41","100nF","Keyboard:C_0603","1",""
"C_RGB43","100nF","Keyboard:C_0603","1",""
"C_RGB44","100nF","Keyboard:C_0603","1",""
"C_RGB47","100nF","Keyboard:C_0603","1",""
"C_RGB48","100nF","Keyboard:C_0603","1",""
"C_RGB51","100nF","Keyboard:C_0603","1",""
"C_RGB53","100nF","Keyboard:C_0603","1",""
"C_RGB54","100nF","Keyboard:C_0603","1",""
"C_RGB55","100nF","Keyboard:C_0603","1",""
"C_RGB58","100nF","Keyboard:C_0603","1",""
"C_RGB59","100nF","Keyboard:C_0603","1",""
"C_RGB_BULK1","100uF","Keyboard:C_0603","1",""
"C_RGB_IN1","10uF","Keyboard:C_0603","1",""
"C_RGB_OUT1_1","22uF","Keyboard:C_0603","1",""
"C_RGB_OUT2_1","22uF","Keyboard:C_0603","1",""
"D1","1N4148W","Keyboard:SOD123","1",""
"D3","1N4148W","Keyboard:SOD123","1",""
"D4","1N4148W","Keyboard:SOD123","1",""
"D7","1N4148W","Keyboard:SOD123","1",""
"D8","1N4148W","Keyboard:SOD123","1",""
"D11","1N4148W","Keyboard:SOD123","1",""
"D13","1N4148W","Keyboard:SOD123","1",""
"D15","1N4148W","Keyboard:SOD123","1",""
"D16","1N4148W","Keyboard:SOD123","1",""
"D19","1N4148W","Keyboard:SOD123","1",""
"D20","1N4148W","Keyboard:SOD123","1",""
"D23","1N4148W","Keyboard:SOD123","1",""
"D25","1N4148W","Keyboard:SOD123","1",""
"D26","1N4148W","Keyboard:SOD123","1",""
"D29","1N4148W","Keyboard:SOD123","1",""
"D30","1N4148W","Keyboard:SOD123","1",""
"D33","1N4148W","Keyboard:SOD123","1",""
"D34","1N4148W","Keyboard:SOD123","1",""
"D37","1N4148W","Keyboard:SOD123","1",""
"D40","1N4148W","Keyboard:SOD123","1",""
"D41","1N4148W","Keyboard:SOD123","1",""
"D43","1N4148W","Keyboard:SOD123","1",""
"D44","1N4148W","Keyboard:SOD123","1",""
"D47","1N4148W","Keyboard:SOD123","1",""
"D48","1N4148W","Keyboard:SOD123","1",""
"D51","1N4148W","Keyboard:SOD123","1",""
"D53","1N4148W","Keyboard:SOD123","1",""
"D54","1N4148W","Keyboard:SOD123","1",""
"D55","1N4148W","Keyboard:SOD123","1",""
"D58","1N4148W","Keyboard:SOD123","1",""
"D59","1N4148W","Keyboard:SOD123","1",""
"J1","JST PH 2.0 2-pin","Keyboard:BatteryConnector_JST_PH2","1",""
"LED1","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED3","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED4","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED7","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED8","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED11","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED13","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED15","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED16","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED19","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED20","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED23","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED25","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED26","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED29","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED30","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED33","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED34","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED37","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED40","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED41","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED43","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED44","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED47","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED48","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED51","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED53","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED54","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED55","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED58","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
