Ref,Val,Package,PosX,PosY,Rot,Side
"C_RGB1","100nF","C_0603",83.987500,-14.775000,90.000000,bottom
"C_RGB3","100nF","C_0603",64.937500,-16.680000,90.000000,bottom
"C_RGB4","100nF","C_0603",103.037500,-16.680000,90.000000,bottom
"C_RGB7","100nF","C_0603",45.887500,-18.585000,90.000000,bottom
"C_RGB8","100nF","C_0603",122.087500,-18.585000,90.000000,bottom
"C_RGB11","100nF","C_0603",26.837500,-19.537500,90.000000,bottom
"C_RGB13","100nF","C_0603",83.987500,-33.825000,90.000000,bottom
"C_RGB15","100nF","C_0603",64.937500,-35.730000,90.000000,bottom
"C_RGB16","100nF","C_0603",103.037500,-35.730000,90.000000,bottom
"C_RGB19","100nF","C_0603",45.887500,-37.635000,90.000000,bottom
"C_RGB20","100nF","C_0603",122.087500,-37.635000,90.000000,bottom
"C_RGB23","100nF","C_0603",24.456300,-38.587500,90.000000,bottom
"C_RGB25","100nF","C_0603",83.987500,-52.875000,90.000000,bottom
"C_RGB26","100nF","C_0603",139.500000,-53.500000,90.000000,bottom
"C_RGB29","100nF","C_0603",64.937500,-54.780000,90.000000,bottom
"C_RGB30","100nF","C_0603",103.037500,-54.780000,90.000000,bottom
"C_RGB33","100nF","C_0603",45.887500,-56.685000,90.000000,bottom
"C_RGB34","100nF","C_0603",122.087500,-56.685000,90.000000,bottom
"C_RGB37","100nF","C_0603",24.456300,-57.637500,90.000000,bottom
"C_RGB40","100nF","C_0603",83.987500,-71.925000,90.000000,bottom
"C_RGB41","100nF","C_0603",139.875000,-73.000000,90.000000,bottom
"C_RGB43","100nF","C_0603",64.937500,-73.830000,90.000000,bottom
"C_RGB44","100nF","C_0603",103.037500,-73.830000,90.000000,bottom
"C_RGB47","100nF","C_0603",45.887500,-75.735000,90.000000,bottom
"C_RGB48","100nF","C_0603",122.087500,-75.735000,90.000000,bottom
"C_RGB51","100nF","C_0603",24.456300,-76.687500,90.000000,bottom
"C_RGB53","100nF","C_0603",91.131300,-92.880000,90.000000,bottom
"C_RGB54","100nF","C_0603",64.937500,-94.785000,90.000000,bottom
"C_RGB55","100nF","C_0603",33.981300,-95.737500,90.000000,bottom
"C_RGB58","100nF","C_0603",124.138700,-109.019200,165.000000,bottom
