Ref,Val,Package,PosX,PosY,Rot,Side
"C_RGB2","100nF","C_0603",231.625000,-14.775000,90.000000,bottom
"C_RGB5","100nF","C_0603",212.575000,-16.680000,90.000000,bottom
"C_RGB6","100nF","C_0603",250.675000,-16.680000,90.000000,bottom
"C_RGB9","100nF","C_0603",193.525000,-18.585000,90.000000,bottom
"C_RGB10","100nF","C_0603",269.725000,-18.585000,90.000000,bottom
"C_RGB12","100nF","C_0603",288.775000,-19.537500,90.000000,bottom
"C_RGB14","100nF","C_0603",231.625000,-33.825000,90.000000,bottom
"C_RGB17","100nF","C_0603",212.575000,-35.730000,90.000000,bottom
"C_RGB18","100nF","C_0603",250.675000,-35.730000,90.000000,bottom
"C_RGB21","100nF","C_0603",193.525000,-37.635000,90.000000,bottom
"C_RGB22","100nF","C_0603",269.725000,-37.635000,90.000000,bottom
"C_RGB24","100nF","C_0603",291.156300,-38.587500,90.000000,bottom
"C_RGB27","100nF","C_0603",174.475000,-52.875000,90.000000,bottom
"C_RGB28","100nF","C_0603",231.625000,-52.875000,90.000000,bottom
"C_RGB31","100nF","C_0603",212.575000,-54.780000,90.000000,bottom
"C_RGB32","100nF","C_0603",250.675000,-54.780000,90.000000,bottom
"C_RGB35","100nF","C_0603",193.525000,-56.685000,90.000000,bottom
"C_RGB36","100nF","C_0603",269.725000,-56.685000,90.000000,bottom
"C_RGB38","100nF","C_0603",291.156300,-57.637500,90.000000,bottom
"C_RGB39","100nF","C_0603",174.475000,-70.972500,90.000000,bottom
"C_RGB42","100nF","C_0603",231.625000,-75.700000,90.000000,bottom
"C_RGB45","100nF","C_0603",212.575000,-73.830000,90.000000,bottom
"C_RGB46","100nF","C_0603",250.675000,-73.830000,90.000000,bottom
"C_RGB49","100nF","C_0603",193.525000,-75.735000,90.000000,bottom
"C_RGB50","100nF","C_0603",269.725000,-75.735000,90.000000,bottom
"C_RGB52","100nF","C_0603",291.156300,-76.687500,90.000000,bottom
"C_RGB56","100nF","C_0603",202.898800,-96.680200,15.000000,bottom
"C_RGB57","100nF","C_0603",183.881600,-99.310600,15.000000,bottom
"D2","1N4148W","SOD123",245.125000,-12.525000,180.000000,bottom
"D5","1N4148W","SOD123",226.075000,-14.430000,180.000000,bottom
"D6","1N4148W","SOD123",264.175000,-14.430000,180.000000,bottom
"D9","1N4148W","SOD123",207.025000,-16.335000,180.000000,bottom
"D10","1N4148W","SOD123",283.225000,-16.335000,180.000000,bottom
"D12","1N4148W","SOD123",302.275000,-17.287500,180.000000,bottom
"D14","1N4148W","SOD123",245.125000,-31.575000,180.000000,bottom
"D17","1N4148W","SOD123",226.075000,-33.480000,180.000000,bottom
"D18","1N4148W","SOD123",264.175000,-33.480000,180.000000,bottom
"D21","1N4148W","SOD123",207.025000,-35.385000,180.000000,bottom
"D22","1N4148W","SOD123",283.225000,-35.385000,180.000000,bottom
"D24","1N4148W","SOD123",304.656300,-36.337500,180.000000,bottom
"D27","1N4148W","SOD123",187.975000,-50.625000,180.000000,bottom
"D28","1N4148W","SOD123",245.125000,-50.625000,180.000000,bottom
"D31","1N4148W","SOD123",226.075000,-52.530000,180.000000,bottom
"D32","1N4148W","SOD123",264.175000,-52.530000,180.000000,bottom
"D35","1N4148W","SOD123",207.025000,-54.435000,180.000000,bottom
"D36","1N4148W","SOD123",283.225000,-54.435000,180.000000,bottom
"D38","1N4148W","SOD123",304.656300,-55.387500,180.000000,bottom
"D39","1N4148W","SOD123",187.975000,-68.722500,180.000000,bottom
"D42","1N4148W","SOD123",245.125000,-69.675000,180.000000,bottom
"D45","1N4148W","SOD123",226.075000,-71.580000,180.000000,bottom
"D46","1N4148W","SOD123",264.175000,-71.580000,180.000000,bottom
"D49","1N4148W","SOD123",207.025000,-73.485000,180.000000,bottom
"D50","1N4148W","SOD123",283.225000,-73.485000,180.000000,bottom
"D52","1N4148W","SOD123",304.656300,-74.437500,180.000000,bottom
"D56","1N4148W","SOD123",208.566200,-109.137900,105.000000,bottom
"D57","1N4148W","SOD123",189.549000,-111.768300,105.000000,bottom
"J2","JST PH 2.0 2-pin","BatteryConnector_JST_PH2",181.800000,-26.500000,180.000000,bottom
"J3","SEIBOKU / jumper wires","SEIBOKU_JUMPER_HEADER",221.725000,-86.162500,180.000000,bottom
"LED2","SK6812MINI-E","LED_SK6812MINI-E_BL",238.125000,-14.775000,180.000000,bottom
"LED5","SK6812MINI-E","LED_SK6812MINI-E_BL",219.075000,-16.680000,180.000000,bottom
"LED6","SK6812MINI-E","LED_SK6812MINI-E_BL",257.175000,-16.680000,180.000000,bottom
"LED9","SK6812MINI-E","LED_SK6812MINI-E_BL",200.025000,-18.585000,180.000000,bottom
"LED10","SK6812MINI-E","LED_SK6812MINI-E_BL",276.225000,-18.585000,180.000000,bottom
"LED12","SK6812MINI-E","LED_SK6812MINI-E_BL",295.275000,-19.537500,180.000000,bottom
"LED14","SK6812MINI-E","LED_SK6812MINI-E_BL",238.125000,-33.825000,180.000000,bottom
"LED17","SK6812MINI-E","LED_SK6812MINI-E_BL",219.075000,-35.730000,180.000000,bottom
"LED18","SK6812MINI-E","LED_SK6812MINI-E_BL",257.175000,-35.730000,180.000000,bottom
"LED21","SK6812MINI-E","LED_SK6812MINI-E_BL",200.025000,-37.635000,180.000000,bottom
"LED22","SK6812MINI-E","LED_SK6812MINI-E_BL",276.225000,-37.635000,180.000000,bottom
"LED24","SK6812MINI-E","LED_SK6812MINI-E_BL",297.656300,-38.587500,180.000000,bottom
"LED27","SK6812MINI-E","LED_SK6812MINI-E_BL",180.975000,-52.875000,180.000000,bottom
"LED28","SK6812MINI-E","LED_SK6812MINI-E_BL",238.125000,-52.875000,180.000000,bottom
"LED31","SK6812MINI-E","LED_SK6812MINI-E_BL",219.075000,-54.780000,180.000000,bottom
"LED32","SK6812MINI-E","LED_SK6812MINI-E_BL",257.175000,-54.780000,180.000000,bottom
"LED35","SK6812MINI-E","LED_SK6812MINI-E_BL",200.025000,-56.685000,180.000000,bottom
"LED36","SK6812MINI-E","LED_SK6812MINI-E_BL",276.225000,-56.685000,180.000000,bottom
"LED38","SK6812MINI-E","LED_SK6812MINI-E_BL",297.656300,-57.637500,180.000000,bottom
"LED39","SK6812MINI-E","LED_SK6812MINI-E_BL",180.975000,-70.972500,180.000000,bottom
"LED42","SK6812MINI-E","LED_SK6812MINI-E_BL",238.125000,-71.925000,180.000000,bottom
"LED45","SK6812MINI-E","LED_SK6812MINI-E_BL",219.075000,-73.830000,180.000000,bottom
"LED46","SK6812MINI-E","LED_SK6812MINI-E_BL",257.175000,-73.830000,180.000000,bottom
"LED49","SK6812MINI-E","LED_SK6812MINI-E_BL",200.025000,-75.735000,180.000000,bottom
"LED50","SK6812MINI-E","LED_SK6812MINI-E_BL",276.225000,-75.735000,180.000000,bottom
"LED52","SK6812MINI-E","LED_SK6812MINI-E_BL",297.656300,-76.687500,180.000000,bottom
"LED56","SK6812MINI-E","LED_SK6812MINI-E_BL",204.581100,-102.958700,105.000000,bottom
"LED57","SK6812MINI-E","LED_SK6812MINI-E_BL",185.563900,-105.589100,105.000000,bottom
"C_LS2","100nF","C_0603",187.500000,-23.000000,0.000000,top
"C_RGB_BULK2","100uF","C_0603",174.850000,-37.000000,90.000000,top
"C_RGB_IN2","10uF","C_0603",189.500000,-36.500000,90.000000,top
"C_RGB_OUT1_2","22uF","C_0603",179.650000,-37.000000,90.000000,top
"C_RGB_OUT2_2","22uF","C_0603",177.150000,-37.000000,90.000000,top
"H1","M2 NPTH clearance","MountingHole",304.906800,-60.107500,0.000000,top
"H2","M2 NPTH clearance","MountingHole",231.106800,-72.407500,0.000000,top
"H3","M2 NPTH clearance","MountingHole",181.906800,-35.507500,0.000000,top
"L_RGB2","1uH","L_1008",186.500000,-33.300000,0.000000,top
"R_RGB_DATA2","220R","R_0603",191.500000,-25.000000,0.000000,top
"R_RGB_EN_PD2","100k","R_0603",188.850000,-40.000000,0.000000,top
"R_RGB_FB_BOT2","100k","R_0603",185.450000,-40.000000,0.000000,top
"R_RGB_FB_TOP2","732k","R_0603",182.150000,-40.000000,0.000000,top
"STAB1","MX stabilizer NPTH","MXStabilizerHole",193.724800,-115.761600,0.000000,top
"STAB2","MX stabilizer NPTH","MXStabilizerHole",206.562400,-90.068700,0.000000,top
"STAB3","MX stabilizer NPTH","MXStabilizerHole",212.742000,-113.131200,0.000000,top
"STAB4","MX stabilizer NPTH","MXStabilizerHole",187.545200,-92.699100,0.000000,top
"SW2","MX","MX_Hotswap_1u",238.125000,-9.525000,0.000000,top
"SW5","MX","MX_Hotswap_1u",219.075000,-11.430000,0.000000,top
"SW6","MX","MX_Hotswap_1u",257.175000,-11.430000,0.000000,top
"SW9","MX","MX_Hotswap_1u",200.025000,-13.335000,0.000000,top
"SW10","MX","MX_Hotswap_1u",276.225000,-13.335000,0.000000,top
