"Designator","Value","Footprint","Qty","DNP"
"C_LS1,C_RGB1,C_RGB3,C_RGB4,C_RGB7,C_RGB8,C_RGB11,C_RGB13,C_RGB15,C_RGB16,C_RGB19,C_RGB20,C_RGB23,C_RGB25,C_RGB26,C_RGB29,C_RGB30,C_RGB33,C_RGB34,C_RGB37,C_RGB40,C_RGB41,C_RGB43,C_RGB44,C_RGB47,C_RGB48,C_RGB51,C_RGB53-C_RGB55,C_RGB58,C_RGB59","100nF","Keyboard:C_0603","32",""
"C_RGB_BULK1","100uF","Keyboard:C_0603","1",""
"C_RGB_IN1","10uF","Keyboard:C_0603","1",""
"C_RGB_OUT1_1,C_RGB_OUT2_1","22uF","Keyboard:C_0603","2",""
"D1,D3,D4,D7,D8,D11,D13,D15,D16,D19,D20,D23,D25,D26,D29,D30,D33,D34,D37,D40,D41,D43,D44,D47,D48,D51,D53-D55,D58,D59","1N4148W","Keyboard:SOD123","31",""
"J1","JST PH 2.0 2-pin","Keyboard:BatteryConnector_JST_PH2","1",""
"LED1,LED3,LED4,LED7,LED8,LED11,LED13,LED15,LED16,LED19,LED20,LED23,LED25,LED26,LED29,LED30,LED33,LED34,LED37,LED40,LED41,LED43,LED44,LED47,LED48,LED51,LED53-LED55,LED58,LED59","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","31",""
"L_RGB1","1uH","Keyboard:L_1008","1",""
"R_RGB_DATA1","220R","Keyboard:R_0603","1",""
"R_RGB_EN_PD1,R_RGB_FB_BOT1","100k","Keyboard:R_0603","2",""
"R_RGB_FB_TOP1","732k","Keyboard:R_0603","1",""
"SW1,SW3,SW4,SW7,SW8,SW11,SW13,SW15,SW16,SW19,SW20,SW25,SW26,SW29,SW30,SW33,SW34,SW40,SW41,SW43,SW44,SW47,SW48","MX","Keyboard:MX_Hotswap_1u","23",""
"SW23,SW37,SW51,SW53","MX","Keyboard:MX_Hotswap_1.25u","4",""
"SW54,SW58","MX","Keyboard:MX_Hotswap_1.5u","2",""
"SW55","MX","Keyboard:MX_Hotswap_1.75u","1",""
"SW59","MX","Keyboard:MX_Hotswap_2.25u","1",""
"SWP1","MSK-12C02 slide switch","Keyboard:PowerSwitch_MSK12C02","1",""
"U1","XIAO nRF52840 Plus (SMD)","Keyboard:XIAO_NRF52840_PLUS","1",""
"U_LS1","SN74AHCT1G125","Keyboard:SN74AHCT1G125","1",""
"U_RGB1","TPS61023","Keyboard:TPS61023","1",""
