"Designator","Value","Footprint","Qty","DNP"
"C_LS2,C_RGB2,C_RGB5,C_RGB6,C_RGB9,C_RGB10,C_RGB12,C_RGB14,C_RGB17,C_RGB18,C_RGB21,C_RGB22,C_RGB24,C_RGB27,C_RGB28,C_RGB31,C_RGB32,C_RGB35,C_RGB36,C_RGB38,C_RGB39,C_RGB42,C_RGB45,C_RGB46,C_RGB49,C_RGB50,C_RGB52,C_RGB56,C_RGB57","100nF","Keyboard:C_0603","29",""
"C_RGB_BULK2","100uF","Keyboard:C_0603","1",""
"C_RGB_IN2","10uF","Keyboard:C_0603","1",""
"C_RGB_OUT1_2,C_RGB_OUT2_2","22uF","Keyboard:C_0603","2",""
"D2,D5,D6,D9,D10,D12,D14,D17,D18,D21,D22,D24,D27,D28,D31,D32,D35,D36,D38,D39,D42,D45,D46,D49,D50,D52,D56,D57","1N4148W","Keyboard:SOD123","28",""
"J2","JST PH 2.0 2-pin","Keyboard:BatteryConnector_JST_PH2","1",""
"J3","SEIBOKU / jumper wires","Keyboard:SEIBOKU_JUMPER_HEADER","1",""
"LED2,LED5,LED6,LED9,LED10,LED12,LED14,LED17,LED18,LED21,LED22,LED24,LED27,LED28,LED31,LED32,LED35,LED36,LED38,LED39,LED42,LED45,LED46,LED49,LED50,LED52,LED56,LED57","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","28",""
"L_RGB2","1uH","Keyboard:L_1008","1",""
"R_RGB_DATA2","220R","Keyboard:R_0603","1",""
"R_RGB_EN_PD2,R_RGB_FB_BOT2","100k","Keyboard:R_0603","2",""
"R_RGB_FB_TOP2","732k","Keyboard:R_0603","1",""
"SW2,SW5,SW6,SW9,SW10,SW12,SW14,SW17,SW18,SW21,SW22,SW27,SW28,SW31,SW32,SW35,SW36,SW39,SW42,SW45,SW46,SW49,SW50","MX","Keyboard:MX_Hotswap_1u","23",""
"SW24,SW38,SW52","MX","Keyboard:MX_Hotswap_1.25u","3",""
"SW56","MX","Keyboard:MX_Hotswap_2u","1",""
"SW57","MX","Keyboard:MX_Hotswap_2.25u","1",""
"SWP2","MSK-12C02 slide switch","Keyboard:PowerSwitch_MSK12C02","1",""
"U2","XIAO nRF52840 Plus (SMD)","Keyboard:XIAO_NRF52840_PLUS","1",""
"U_LS2","SN74AHCT1G125","Keyboard:SN74AHCT1G125","1",""
"U_RGB2","TPS61023","Keyboard:TPS61023","1",""
