"Refs","Value","Footprint","Qty","DNP"
"C_LS2","100nF","Keyboard:C_0603","1",""
"C_RGB2","100nF","Keyboard:C_0603","1",""
"C_RGB5","100nF","Keyboard:C_0603","1",""
"C_RGB6","100nF","Keyboard:C_0603","1",""
"C_RGB9","100nF","Keyboard:C_0603","1",""
"C_RGB10","100nF","Keyboard:C_0603","1",""
"C_RGB12","100nF","Keyboard:C_0603","1",""
"C_RGB14","100nF","Keyboard:C_0603","1",""
"C_RGB17","100nF","Keyboard:C_0603","1",""
"C_RGB18","100nF","Keyboard:C_0603","1",""
"C_RGB21","100nF","Keyboard:C_0603","1",""
"C_RGB22","100nF","Keyboard:C_0603","1",""
"C_RGB24","100nF","Keyboard:C_0603","1",""
"C_RGB27","100nF","Keyboard:C_0603","1",""
"C_RGB28","100nF","Keyboard:C_0603","1",""
"C_RGB31","100nF","Keyboard:C_0603","1",""
"C_RGB32","100nF","Keyboard:C_0603","1",""
"C_RGB35","100nF","Keyboard:C_0603","1",""
"C_RGB36","100nF","Keyboard:C_0603","1",""
"C_RGB38","100nF","Keyboard:C_0603","1",""
"C_RGB39","100nF","Keyboard:C_0603","1",""
"C_RGB42","100nF","Keyboard:C_0603","1",""
"C_RGB45","100nF","Keyboard:C_0603","1",""
"C_RGB46","100nF","Keyboard:C_0603","1",""
"C_RGB49","100nF","Keyboard:C_0603","1",""
"C_RGB50","100nF","Keyboard:C_0603","1",""
"C_RGB52","100nF","Keyboard:C_0603","1",""
"C_RGB56","100nF","Keyboard:C_0603","1",""
"C_RGB57","100nF","Keyboard:C_0603","1",""
"C_RGB_BULK2","100uF","Keyboard:C_0603","1",""
"C_RGB_IN2","10uF","Keyboard:C_0603","1",""
"C_RGB_OUT1_2","22uF","Keyboard:C_0603","1",""
"C_RGB_OUT2_2","22uF","Keyboard:C_0603","1",""
"D2","1N4148W","Keyboard:SOD123","1",""
"D5","1N4148W","Keyboard:SOD123","1",""
"D6","1N4148W","Keyboard:SOD123","1",""
"D9","1N4148W","Keyboard:SOD123","1",""
"D10","1N4148W","Keyboard:SOD123","1",""
"D12","1N4148W","Keyboard:SOD123","1",""
"D14","1N4148W","Keyboard:SOD123","1",""
"D17","1N4148W","Keyboard:SOD123","1",""
"D18","1N4148W","Keyboard:SOD123","1",""
"D21","1N4148W","Keyboard:SOD123","1",""
"D22","1N4148W","Keyboard:SOD123","1",""
"D24","1N4148W","Keyboard:SOD123","1",""
"D27","1N4148W","Keyboard:SOD123","1",""
"D28","1N4148W","Keyboard:SOD123","1",""
"D31","1N4148W","Keyboard:SOD123","1",""
"D32","1N4148W","Keyboard:SOD123","1",""
"D35","1N4148W","Keyboard:SOD123","1",""
"D36","1N4148W","Keyboard:SOD123","1",""
"D38","1N4148W","Keyboard:SOD123","1",""
"D39","1N4148W","Keyboard:SOD123","1",""
"D42","1N4148W","Keyboard:SOD123","1",""
"D45","1N4148W","Keyboard:SOD123","1",""
"D46","1N4148W","Keyboard:SOD123","1",""
"D49","1N4148W","Keyboard:SOD123","1",""
"D50","1N4148W","Keyboard:SOD123","1",""
"D52","1N4148W","Keyboard:SOD123","1",""
"D56","1N4148W","Keyboard:SOD123","1",""
"D57","1N4148W","Keyboard:SOD123","1",""
"J2","JST PH 2.0 2-pin","Keyboard:BatteryConnector_JST_PH2","1",""
"J3","SEIBOKU / jumper wires","Keyboard:SEIBOKU_JUMPER_HEADER","1",""
"LED2","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED5","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED6","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED9","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED10","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED12","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED14","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED17","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED18","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED21","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED22","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED24","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED27","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED28","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED31","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED32","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED35","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED36","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED38","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED39","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED42","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED45","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED46","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED49","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED50","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED52","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED56","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"LED57","SK6812MINI-E","Keyboard:LED_SK6812MINI-E_BL","1",""
"L_RGB2","1uH","Keyboard:L_1008","1",""
"R_RGB_DATA2","220R","Keyboard:R_0603","1",""
"R_RGB_EN_PD2","100k","Keyboard:R_0603","1",""
"R_RGB_FB_BOT2","100k","Keyboard:R_0603","1",""
"R_RGB_FB_TOP2","732k","Keyboard:R_0603","1",""
"SW2","MX","Keyboard:MX_Hotswap_1u","1",""
"SW5","MX","Keyboard:MX_Hotswap_1u","1",""
"SW6","MX","Keyboard:MX_Hotswap_1u","1",""
"SW9","MX","Keyboard:MX_Hotswap_1u","1",""
"SW10","MX","Keyboard:MX_Hotswap_1u","1",""
